 1.26178644e-03  1.26178644e-03  1.26178644e-03  1.66324098e+00  1.26178644e-03  9.02712227e-01  1.26178644e-03  1.00000000e+00 
-1.78853567e-03 -1.78853567e-03 -1.78853567e-03  1.74946393e+00 -1.78853567e-03  9.01599118e-01 -1.78853567e-03  1.00000000e+00 
-9.49436403e-04 -9.49436403e-04 -9.49436403e-04  1.70165617e+00 -9.49436403e-04  8.94468791e-01 -9.49436403e-04  1.00000000e+00 
-1.79270514e-03 -1.79270514e-03 -1.79270514e-03  1.82997232e+00 -1.79270514e-03  9.02386800e-01 -1.79270514e-03  1.00000000e+00 
-1.79550643e-03 -1.79550643e-03 -1.79550643e-03  1.80332523e+00 -1.79550643e-03  8.96800538e-01 -1.79550643e-03  1.00000000e+00 
-1.77486582e-03 -1.77486582e-03 -1.77486582e-03  2.01186645e+00 -1.77486582e-03  9.01985216e-01 -1.77486582e-03  1.00000000e+00 
-1.75301623e-03 -1.75301623e-03 -1.75301623e-03  1.73963127e+00 -1.75301623e-03  9.02057319e-01 -1.75301623e-03  1.00000000e+00 
-1.78698228e-03 -1.78698228e-03 -1.78698228e-03  1.89893408e+00 -1.78698228e-03  9.01785194e-01 -1.78698228e-03  1.00000000e+00 
 1.01624039e-03  1.01624039e-03  1.01624039e-03  1.66627360e+00  1.01624039e-03  8.99131794e-01  1.01624039e-03  1.00000000e+00 
-1.75972286e-03 -1.75972286e-03 -1.75972286e-03  2.10213558e+00 -1.75972286e-03  9.01709541e-01 -1.75972286e-03  1.00000000e+00 
